date,year,month_no,month_name,quarter,day,weekday
16-08-2022,2022,8,August,Q3,2,Tuesday
02-08-2022,2022,8,August,Q3,2,Tuesday
09-08-2022,2022,8,August,Q3,2,Tuesday
23-08-2022,2022,8,August,Q3,2,Tuesday
30-08-2022,2022,8,August,Q3,2,Tuesday
05-07-2022,2022,7,July,Q3,2,Tuesday
12-07-2022,2022,7,July,Q3,2,Tuesday
19-07-2022,2022,7,July,Q3,2,Tuesday
26-07-2022,2022,7,July,Q3,2,Tuesday
08-03-2022,2022,3,March,Q1,2,Tuesday
15-03-2022,2022,3,March,Q1,2,Tuesday
01-03-2022,2022,3,March,Q1,2,Tuesday
22-03-2022,2022,3,March,Q1,2,Tuesday
29-03-2022,2022,3,March,Q1,2,Tuesday
05-08-2022,2022,8,August,Q3,5,Friday
12-08-2022,2022,8,August,Q3,5,Friday
19-08-2022,2022,8,August,Q3,5,Friday
26-08-2022,2022,8,August,Q3,5,Friday
08-07-2022,2022,7,July,Q3,5,Friday
15-07-2022,2022,7,July,Q3,5,Friday
01-07-2022,2022,7,July,Q3,5,Friday
22-07-2022,2022,7,July,Q3,5,Friday
29-07-2022,2022,7,July,Q3,5,Friday
04-03-2022,2022,3,March,Q1,5,Friday
11-03-2022,2022,3,March,Q1,5,Friday
18-03-2022,2022,3,March,Q1,5,Friday
25-03-2022,2022,3,March,Q1,5,Friday
01-08-2022,2022,8,August,Q3,1,Monday
03-08-2022,2022,8,August,Q3,3,Wednesday
04-08-2022,2022,8,August,Q3,4,Thursday
06-08-2022,2022,8,August,Q3,6,Saturday
07-08-2022,2022,8,August,Q3,7,Sunday
08-08-2022,2022,8,August,Q3,1,Monday
10-08-2022,2022,8,August,Q3,3,Wednesday
11-08-2022,2022,8,August,Q3,4,Thursday
13-08-2022,2022,8,August,Q3,6,Saturday
14-08-2022,2022,8,August,Q3,7,Sunday
15-08-2022,2022,8,August,Q3,1,Monday
17-08-2022,2022,8,August,Q3,3,Wednesday
18-08-2022,2022,8,August,Q3,4,Thursday
20-08-2022,2022,8,August,Q3,6,Saturday
21-08-2022,2022,8,August,Q3,7,Sunday
22-08-2022,2022,8,August,Q3,1,Monday
24-08-2022,2022,8,August,Q3,3,Wednesday
25-08-2022,2022,8,August,Q3,4,Thursday
27-08-2022,2022,8,August,Q3,6,Saturday
28-08-2022,2022,8,August,Q3,7,Sunday
29-08-2022,2022,8,August,Q3,1,Monday
16-07-2022,2022,7,July,Q3,6,Saturday
02-07-2022,2022,7,July,Q3,6,Saturday
03-07-2022,2022,7,July,Q3,7,Sunday
04-07-2022,2022,7,July,Q3,1,Monday
06-07-2022,2022,7,July,Q3,3,Wednesday
07-07-2022,2022,7,July,Q3,4,Thursday
09-07-2022,2022,7,July,Q3,6,Saturday
10-07-2022,2022,7,July,Q3,7,Sunday
11-07-2022,2022,7,July,Q3,1,Monday
13-07-2022,2022,7,July,Q3,3,Wednesday
14-07-2022,2022,7,July,Q3,4,Thursday
17-07-2022,2022,7,July,Q3,7,Sunday
18-07-2022,2022,7,July,Q3,1,Monday
20-07-2022,2022,7,July,Q3,3,Wednesday
21-07-2022,2022,7,July,Q3,4,Thursday
23-07-2022,2022,7,July,Q3,6,Saturday
24-07-2022,2022,7,July,Q3,7,Sunday
25-07-2022,2022,7,July,Q3,1,Monday
27-07-2022,2022,7,July,Q3,3,Wednesday
28-07-2022,2022,7,July,Q3,4,Thursday
30-07-2022,2022,7,July,Q3,6,Saturday
31-07-2022,2022,7,July,Q3,7,Sunday
16-03-2022,2022,3,March,Q1,3,Wednesday
02-03-2022,2022,3,March,Q1,3,Wednesday
03-03-2022,2022,3,March,Q1,4,Thursday
05-03-2022,2022,3,March,Q1,6,Saturday
06-03-2022,2022,3,March,Q1,7,Sunday
07-03-2022,2022,3,March,Q1,1,Monday
09-03-2022,2022,3,March,Q1,3,Wednesday
10-03-2022,2022,3,March,Q1,4,Thursday
12-03-2022,2022,3,March,Q1,6,Saturday
13-03-2022,2022,3,March,Q1,7,Sunday
14-03-2022,2022,3,March,Q1,1,Monday
17-03-2022,2022,3,March,Q1,4,Thursday
19-03-2022,2022,3,March,Q1,6,Saturday
20-03-2022,2022,3,March,Q1,7,Sunday
21-03-2022,2022,3,March,Q1,1,Monday
23-03-2022,2022,3,March,Q1,3,Wednesday
24-03-2022,2022,3,March,Q1,4,Thursday
26-03-2022,2022,3,March,Q1,6,Saturday
27-03-2022,2022,3,March,Q1,7,Sunday
28-03-2022,2022,3,March,Q1,1,Monday
30-03-2022,2022,3,March,Q1,3,Wednesday
31-03-2022,2022,3,March,Q1,4,Thursday
01-04-2022,2022,4,April,Q2,5,Friday
03-04-2022,2022,4,April,Q2,7,Sunday
04-04-2022,2022,4,April,Q2,1,Monday
05-04-2022,2022,4,April,Q2,2,Tuesday
06-04-2022,2022,4,April,Q2,3,Wednesday
07-04-2022,2022,4,April,Q2,4,Thursday
08-04-2022,2022,4,April,Q2,5,Friday
09-04-2022,2022,4,April,Q2,6,Saturday
10-04-2022,2022,4,April,Q2,7,Sunday
11-04-2022,2022,4,April,Q2,1,Monday
12-04-2022,2022,4,April,Q2,2,Tuesday
13-04-2022,2022,4,April,Q2,3,Wednesday
14-04-2022,2022,4,April,Q2,4,Thursday
15-04-2022,2022,4,April,Q2,5,Friday
16-04-2022,2022,4,April,Q2,6,Saturday
02-04-2022,2022,4,April,Q2,6,Saturday
17-04-2022,2022,4,April,Q2,7,Sunday
18-04-2022,2022,4,April,Q2,1,Monday
19-04-2022,2022,4,April,Q2,2,Tuesday
20-04-2022,2022,4,April,Q2,3,Wednesday
21-04-2022,2022,4,April,Q2,4,Thursday
22-04-2022,2022,4,April,Q2,5,Friday
23-04-2022,2022,4,April,Q2,6,Saturday
24-04-2022,2022,4,April,Q2,7,Sunday
25-04-2022,2022,4,April,Q2,1,Monday
26-04-2022,2022,4,April,Q2,2,Tuesday
27-04-2022,2022,4,April,Q2,3,Wednesday
28-04-2022,2022,4,April,Q2,4,Thursday
29-04-2022,2022,4,April,Q2,5,Friday
30-04-2022,2022,4,April,Q2,6,Saturday
01-06-2022,2022,6,June,Q2,3,Wednesday
02-06-2022,2022,6,June,Q2,4,Thursday
03-06-2022,2022,6,June,Q2,5,Friday
04-06-2022,2022,6,June,Q2,6,Saturday
05-06-2022,2022,6,June,Q2,7,Sunday
06-06-2022,2022,6,June,Q2,1,Monday
07-06-2022,2022,6,June,Q2,2,Tuesday
08-06-2022,2022,6,June,Q2,3,Wednesday
09-06-2022,2022,6,June,Q2,4,Thursday
10-06-2022,2022,6,June,Q2,5,Friday
11-06-2022,2022,6,June,Q2,6,Saturday
12-06-2022,2022,6,June,Q2,7,Sunday
13-06-2022,2022,6,June,Q2,1,Monday
14-06-2022,2022,6,June,Q2,2,Tuesday
15-06-2022,2022,6,June,Q2,3,Wednesday
16-06-2022,2022,6,June,Q2,4,Thursday
17-06-2022,2022,6,June,Q2,5,Friday
18-06-2022,2022,6,June,Q2,6,Saturday
19-06-2022,2022,6,June,Q2,7,Sunday
20-06-2022,2022,6,June,Q2,1,Monday
21-06-2022,2022,6,June,Q2,2,Tuesday
22-06-2022,2022,6,June,Q2,3,Wednesday
23-06-2022,2022,6,June,Q2,4,Thursday
24-06-2022,2022,6,June,Q2,5,Friday
25-06-2022,2022,6,June,Q2,6,Saturday
26-06-2022,2022,6,June,Q2,7,Sunday
27-06-2022,2022,6,June,Q2,1,Monday
28-06-2022,2022,6,June,Q2,2,Tuesday
29-06-2022,2022,6,June,Q2,3,Wednesday
30-06-2022,2022,6,June,Q2,4,Thursday
01-05-2022,2022,5,May,Q2,7,Sunday
02-05-2022,2022,5,May,Q2,1,Monday
03-05-2022,2022,5,May,Q2,2,Tuesday
04-05-2022,2022,5,May,Q2,3,Wednesday
05-05-2022,2022,5,May,Q2,4,Thursday
06-05-2022,2022,5,May,Q2,5,Friday
07-05-2022,2022,5,May,Q2,6,Saturday
08-05-2022,2022,5,May,Q2,7,Sunday
09-05-2022,2022,5,May,Q2,1,Monday
10-05-2022,2022,5,May,Q2,2,Tuesday
11-05-2022,2022,5,May,Q2,3,Wednesday
12-05-2022,2022,5,May,Q2,4,Thursday
13-05-2022,2022,5,May,Q2,5,Friday
